Book,Chapter,Verse,Text
Genesis,2,13,ⲁⲩⲱ ⲡⲣⲁⲛ ⲙⲡⲙⲉϩⲥⲛⲁⲩ ⲛⲓⲉⲣⲟ ⲡⲉ ⲅⲉⲱⲛ ⲡⲁⲓ ⲡⲉⲧⲕⲱⲧⲉ ⲉⲡⲕⲁϩ ⲧⲏⲣϥ ⲛⲛⲉϭⲟⲟϣⲉ
Genesis,2,14,ⲁⲩⲱ ⲡⲙⲉϩϣⲟⲙⲛⲧ ⲛⲓⲉⲣⲟ ⲡⲉ ⲧⲉⲕⲣⲓⲥ ⲡⲁⲓ ⲡⲉⲧⲛⲏⲩ ⲛⲛⲁⲥⲥⲏⲣⲓⲟⲥ ⲡⲙⲉϩϥⲧⲟⲟⲩ ⲇⲉ ⲛⲓⲉⲣⲟ ⲡⲁⲓ ⲡⲉ ⲡⲉⲩⲫⲣⲁⲧⲏⲥ ⲡⲛⲟϭ ⲛⲓⲉⲣⲟ
Genesis,2,15,ⲁⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ϫⲓ ⲙⲡⲣⲱⲙⲉ ⲛⲧⲁϥⲡⲗⲁⲥⲥⲉ ⲙⲙⲟϥ ⲁϥⲕⲱ ⲙⲙⲟϥ ϩⲙ ⲡⲡⲁⲣⲁⲇⲓⲥⲟⲥ ⲉⲣϩⲱⲃ ⲉⲣⲟϥ ⲁⲩⲱ ⲉϩⲁⲣⲉϩ
Genesis,2,16,ⲁⲩⲱ ⲁⲡⲛⲟⲩⲧⲉ ϩⲱⲛ ⲉⲧⲟⲟⲧϥ ⲛⲁⲇⲁⲙ ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉ ⲉⲃⲟⲗ ϩⲛ ϣⲏⲛ ⲛⲓⲙ ⲉⲧϩⲙ ⲡⲡⲁⲣⲁⲇⲓⲥⲟⲥ ϩⲛ ⲟⲩⲱⲙ ⲉⲕⲉⲟⲩⲱⲙ
Genesis,2,17,ⲉⲃⲟⲗ ⲇⲉ ϩⲙ ⲡϣⲏⲛ ⲛⲥⲟⲩⲛⲡⲡⲉⲧⲛⲁⲛⲟⲩϥ ⲙⲛ ⲡⲡⲉⲑⲟⲟⲩ ⲛⲛⲉⲧⲛⲟⲩⲱⲙ ⲉⲃⲟⲗ ⲛϩⲏⲧϥ ϩⲙ ⲡⲉϩⲟⲟⲩ ⲇⲉ ⲉⲧⲉⲧⲛⲁⲟⲩⲱⲙ ⲉⲃⲟⲗ ⲛϩⲏⲧϥ ϩⲛ ⲟⲩⲙⲟⲩ ⲧⲉⲧⲛⲁⲙⲟⲩ
Genesis,2,18,ⲁⲩⲱ ⲡⲉϫⲁϥ ⲛϭⲓ ⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ϫⲉ ⲛⲁⲛⲟⲩⲡⲣⲱⲙⲉ ⲁⲛ ⲉⲧⲣⲉϥϭⲱ ⲙⲁⲩⲁⲁϥ ⲙⲁⲣⲉⲛⲧⲁⲙⲓⲟ ⲛⲁϥ ⲛⲟⲩⲃⲟⲏⲑⲟⲥ ⲕⲁⲧⲁⲣⲟϥ
Genesis,2,19,ⲁⲩⲱ ⲁⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ⲡⲗⲁⲥⲥⲉ ⲟⲛ ⲛⲕⲉⲥⲟⲡ ⲉⲃⲟⲗ ϩⲙ ⲡⲕⲁϩ ⲛⲛⲉⲑⲏⲣⲓⲟⲛ ⲧⲏⲣⲟⲩ ⲛⲧⲥⲱϥⲉ ⲙⲛ ⲛϩⲁⲗⲁⲁⲧⲉ ⲧⲏⲣⲟⲩ ⲛⲧⲡⲉ ⲁⲩⲱ ⲁϥⲉⲓⲛⲉ ⲙⲙⲟⲟⲩ ⲉⲣⲁⲧϥ ⲛⲁⲇⲁⲙ ⲉⲛⲁⲩ ϫⲉ ϥⲛⲁϯⲣⲓⲛⲟⲩ ⲉⲟⲩ ⲁⲩⲱ ⲛⲣⲁⲛ ⲛⲧⲁⲁⲇⲁⲙ ⲧⲁⲁⲩ ⲉⲯⲩⲭⲏ ⲛⲓⲙ ⲉⲧⲟⲛϩ ⲡⲁⲓ ⲡⲉ ⲡⲉⲩⲣⲁⲛ
Genesis,2,20,ⲁⲇⲁⲙ ⲇⲉ ⲁϥϯⲣⲁⲛ ⲉⲛⲧⲃⲛⲟⲟⲩⲉ ⲧⲏⲣⲟⲩ ⲙⲛ ⲛⲉⲑⲏⲣⲓⲟⲛ ⲧⲏⲣⲟⲩ ⲛⲧⲥⲱϣⲉ ⲁⲇⲁⲙ ⲇⲉ ⲙⲡⲟⲩϩⲉ ⲉⲃⲟⲏⲑⲟⲥ ⲛⲁϥ ⲉϥⲉⲓⲛⲉ ⲙⲙⲟϥ
Genesis,2,21,ⲁⲡⲛⲟⲩⲧⲉ ⲇⲉ ⲛⲟⲩϫⲉ ⲛⲟⲩϩⲓⲛⲏⲃ ⲉϫⲛ ⲁⲇⲁⲙ ⲁϥⲱⲃϣ ⲁϥϫⲓ ⲛⲟⲩⲉⲓ ⲛⲛⲉϥⲃⲏⲧⲥⲡⲓⲣ ⲁϥⲙⲁϩⲥ ⲛⲥⲁⲣⲝ ⲉⲡⲉⲥⲙⲁ
Genesis,2,22,ⲁⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ⲕⲱⲧ ⲛⲧⲃⲏⲧⲥⲡⲓⲣ ⲛⲧⲁϥϫⲓⲧⲥ ⲉⲃⲟⲗ ϩⲛ ⲁⲇⲁⲙ ⲉⲩⲥϩⲓⲙⲉ ⲁϥⲉⲓⲛⲉ ⲙⲙⲟⲥ ⲉⲣⲁⲧϥ ⲛⲁⲇⲁⲙ
